Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
0.00119319749473 Stuttgart, Germany
0.00118180025294 Tansonnhat Intl, Vietnam
0.00118098705055 Bali Ngurah Rai, Indonesia
0.00116423887247 Ben Gurion, Israel
0.00115765383538 Glasgow, United Kingdom
0.00115627586644 Mashhad, Iran
0.0011541068674 Saint Exupery, France
0.00114932696104 Provence, France
0.00114160136776 Henri Coanda, Romania
0.00113904567067 Okecie, Poland
0.00113824663157 San Diego Intl, United States
0.00112094877291 Queen Alia Intl, Jordan
0.0011113004381 Yellowknife, Canada
0.00110963996296 Luanda 4 De Fevereiro, Angola
0.00110948092114 Xinzheng, China
0.00108850536293 Netaji Subhash Chandra Bose Intl, India
0.00108461029251 Cleveland Hopkins Intl, United States
0.00107803797282 Nikos Kazantzakis, Greece
0.00107458493737 Sioux Lookout, Canada
0.00106694510182 Houari Boumediene, Algeria
0.00105862826395 Koln Bonn, Germany
0.0010534808417 Juan Santamaria Intl, Costa Rica
0.00104665432505 Jose Marti Intl, Cuba
0.00104357915923 Antalya, Turkey
0.00104198041565 Luis Munoz Marin Intl, Puerto Rico
0.00104100289332 Zhoushuizi, China
0.00103400516265 Eduardo Gomes Intl, Brazil
0.0010338118536 Ralph Wien Mem, United States
0.00103025509371 Kuwait Intl, Kuwait
0.00102996530662 Tancredo Neves Intl, Brazil
0.00102534158472 Vnukovo, Russia
0.00102145359542 Tribhuvan Intl, Nepal
0.00102089884789 Cairns Intl, Australia
0.00101681236545 Taiping, China
0.00101216523401 Hasanuddin, Indonesia
0.000997033271389 Yuzhny, Uzbekistan
0.000992693824813 Tenerife Sur, Spain
0.000984879383753 Ministro Pistarini, Argentina
0.000981592856599 Shenyang Taoxian International Airport, China
0.00097797318818 Afonso Pena, Brazil
0.000968165560352 Chennai Intl, India
0.000965092778324 Rhodes Diagoras, Greece
0.000956265534989 Lynden Pindling Intl, Bahamas
0.000953286331608 Bergamo Orio Al Serio, Italy
0.000953014041433 Boryspil Intl, Ukraine
0.000948042126514 Noibai Intl, Vietnam
0.000947157344202 Kansas City Intl, United States
0.000933288784415 Zia Intl, Bangladesh
0.000930755569823 Adelaide Intl, Australia
0.000929642132501 Mactan Cebu Intl, Philippines
0.000929374647449 Seeb Intl, Oman
0.000926694081839 Bangalore, India
0.000922309468303 Luton, United Kingdom
0.000921615305037 Riga Intl, Latvia
0.000914620188798 Koltsovo, Russia
0.00091400500132 Ketchikan Intl, United States
0.000899755963495 Jinan, China
0.000898615619186 Longdongbao, China
0.000892236972213 Nnamdi Azikiwe Intl, Nigeria
0.000890374249868 Binhai, China
0.000886616893841 Bristol, United Kingdom
0.000871246281534 Salgado Filho, Brazil
0.000871081112611 Juanda, Indonesia
0.000866814570958 Tolmachevo, Russia
0.000859617785771 Congonhas, Brazil
0.000857555271416 Don Miguel Hidalgo Y Costilla Intl, Mexico
0.000857345074109 Changle, China
0.000857123315895 Flesland, Norway
0.000856189817011 Bandaranaike Intl Colombo, Sri Lanka
0.000855743949239 Lanzarote, Spain
0.000854022262162 Porto, Portugal
0.000844105508212 Darwin Intl, Australia
0.000844051386848 Faro, Portugal
0.000840453254764 New Chitose, Japan
0.000840239181877 Luqa, Malta
0.000837706893261 Wellington Intl, New Zealand
0.000836336284379 Winnipeg Intl, Canada
0.000828453016166 Jinnah Intl, Pakistan
0.000822316164568 Murtala Muhammed, Nigeria
0.000821086158243 Nome, United States
0.000820275981103 Alfredo Vasquez Cobo, Colombia
0.0008149918599 Nashville Intl, United States
0.00081443038571 Fukuoka, Japan
0.000809670116062 Nottingham East Midlands, United Kingdom
0.000808202568118 Keflavik International Airport, Iceland
0.000797831402709 Newcastle, United Kingdom
0.000796385883997 Sochi, Russia
0.000785695700184 Marechal Rondon, Brazil
0.00078533114717 Wuxu, China
0.000785056446273 Hyderabad, India
0.000783557969915 Leopold Sedar Senghor Intl, Senegal
0.000781121669608 Gimhae Intl, South Korea
0.000774376116754 Christchurch Intl, New Zealand
0.000773799541602 Iqaluit, Canada
0.000772342597475 William P Hobby, United States
0.000771671918875 Larnaca, Cyprus
0.000770504086997 Marcos A Gelabert Intl, Panama
0.000768559599905 Wusu, China
